Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
PTK2,-35.9990440833332,7,PTM-SEA,0.8636363636363636,4,TK,FAK,FAK,PTK2
MAP2K7,0,29,PTM-SEA,0,1,STE,STE7,MEK7,MAP2K7
JAK2,-1.50807553981847,26,PTM-SEA,0.4318181818181818,2,TK,JAKA,JAKA,JAK2
MAP3K6,0,29,PTM-SEA,0,1,STE,STE11,ASK,MAP3K6
ABL1,-7.766346281368333,21,PTM-SEA,0.5454545454545454,3,TK,ABL,ABL,ABL1
EGFR,7.408829984624855,24,PTM-SEA,0.4772727272727273,2,TK,EGFR,EGFR,EGFR
ERBB2,45.66414988155183,5,PTM-SEA,0.9090909090909091,4,TK,EGFR,EGFR,ERBB2
INSR,28.423401553382902,10,PTM-SEA,0.7954545454545454,4,TK,INSR,INSR,INSR
LCK,-14.07878776523159,19,PTM-SEA,0.5909090909090909,3,TK,SRC,SRCB,LCK
FYN,-7.644107288043708,22,PTM-SEA,0.5227272727272727,3,TK,SRC,SRCA,FYN
YES1,12.85397451097569,20,PTM-SEA,0.5681818181818182,3,TK,SRC,SRCA,YES1
LYN,16.76014953555309,16,PTM-SEA,0.6590909090909091,3,TK,SRC,SRCB,LYN
RET,-36.231176943913994,6,PTM-SEA,0.8863636363636364,4,TK,RET,RET,RET
IGF1R,21.23628511806715,13,PTM-SEA,0.7272727272727273,3,TK,INSR,INSR,IGF1R
MET,15.365684258517064,18,PTM-SEA,0.6136363636363636,3,TK,MET,MET,MET
HCK,0,29,PTM-SEA,0,1,TK,SRC,SRCB,HCK
ROS1,0,29,PTM-SEA,0,1,TK,SEV,SEV,ROS1
PDGFRB,-20.27216425914407,14,PTM-SEA,0.7045454545454546,3,TK,PDGFR,PDGFR,PDGFRB
FGR,0,29,PTM-SEA,0,1,TK,SRC,SRCA,FGR
SRC,0.2033010558202848,28,PTM-SEA,0.38636363636363635,2,TK,SRC,SRCA,SRC
FGFR3,0,29,PTM-SEA,0,1,TK,FGFR,FGFR,FGFR3
JAK1,50.011327024294076,3,PTM-SEA,0.9545454545454546,4,TK,JAKA,JAKA,JAK1
TYK2,0,29,PTM-SEA,0,1,TK,JAKA,JAKA,TYK2
FLT4,0,29,PTM-SEA,0,1,TK,VEGFR,VEGFR,FLT4
KDR,18.576550855631442,15,PTM-SEA,0.6818181818181818,3,TK,VEGFR,VEGFR,KDR
MAP2K2,0,29,PTM-SEA,0,1,STE,STE7,MEK1,MAP2K2
ABL2,0,29,PTM-SEA,0,1,TK,ABL,ABL,ABL2
ZAP70,-15.685366957189213,17,PTM-SEA,0.6363636363636364,3,TK,SYK,SYK,ZAP70
SYK,54.28826951354161,1,PTM-SEA,1,4,TK,SYK,SYK,SYK
MAP2K4,-1.1781890768655348,27,PTM-SEA,0.4090909090909091,2,STE,STE7,MEK4,MAP2K4
MAP2K3,0,29,PTM-SEA,0,1,STE,STE7,MEK3,MAP2K3
BMX,4.564748201438849,25,PTM-SEA,0.45454545454545453,2,TK,TEC,TEC,BMX
JAK3,-7.607913669064748,23,PTM-SEA,0.5,3,TK,JAKA,JAKA,JAK3
MAP2K6,0,29,PTM-SEA,0,1,STE,STE7,MEK3,MAP2K6
EPHA4,0,29,PTM-SEA,0,1,TK,EPH,EPH,EPHA4
MAP2K1,-26.969108568052597,11,PTM-SEA,0.7727272727272727,4,STE,STE7,MEK1,MAP2K1
MST1R,32.55388933897697,9,PTM-SEA,0.8181818181818182,4,TK,MET,MET,MST1R
ITK,-46.67392638235251,4,PTM-SEA,0.9318181818181818,4,TK,TEC,TEC,ITK
DYRK1A,0,29,PTM-SEA,0,1,CMGC,DYRK,DYRK1,DYRK1A
PTK6,-33.39346353564249,8,PTM-SEA,0.8409090909090909,4,TK,SRC,SRM,PTK6
PTK2B,0,29,PTM-SEA,0,1,TK,FAK,FAK,PTK2B
ERBB4,0,29,PTM-SEA,0,1,TK,EGFR,EGFR,ERBB4
NTRK2,23.5,12,PTM-SEA,0.75,4,TK,TRK,TRK,NTRK2
MAP3K5,0,29,PTM-SEA,0,1,STE,STE11,ASK,MAP3K5
ALK,-51.876701684098336,2,PTM-SEA,0.9772727272727273,4,TK,ALK,ALK,ALK
AAK1,296,267,KEA3,0.10285714285714286,1,OTHER,NAK,BIKE,AAK1
ABL1,23,13,KEA3,0.9628571428571429,4,TK,ABL,ABL,ABL1
ABL2,114.66666666666667,121,KEA3,0.6085714285714285,3,TK,ABL,ABL,ABL2
ACVR1,122,132,KEA3,0.5685714285714286,3,TKL,STKR,TYPE1,ACVR1
ACVR1B,204.5,210,KEA3,0.28285714285714286,2,TKL,STKR,TYPE1,ACVR1B
ACVR2B,211,212,KEA3,0.2714285714285714,2,TKL,STKR,TYPE2,ACVR2B
AKT1,32.333333333333336,21,KEA3,0.9371428571428572,4,AGC,AKT,AKT,AKT1
AKT2,107,107,KEA3,0.6514285714285715,3,AGC,AKT,AKT,AKT2
AKT3,242,229,KEA3,0.21714285714285714,1,AGC,AKT,AKT,AKT3
ALK,56.5,45,KEA3,0.8628571428571429,4,TK,ALK,ALK,ALK
ARAF,83.5,74,KEA3,0.7714285714285715,4,TKL,RAF,RAF,ARAF
ATM,59.33333333333333,48,KEA3,0.8542857142857143,4,ATYPICAL,PIKK,ATM,ATM
ATR,65,53,KEA3,0.84,4,ATYPICAL,PIKK,ATR,ATR
AURKA,109,109,KEA3,0.6428571428571429,3,OTHER,AUR,AUR,AURKA
AURKB,36.333333333333336,25,KEA3,0.9257142857142857,4,OTHER,AUR,AUR,AURKB
AURKC,184.5,193,KEA3,0.3342857142857143,2,OTHER,AUR,AUR,AURKC
AXL,89,83,KEA3,0.7371428571428571,3,TK,AXL,AXL,AXL
BLK,255,238,KEA3,0.18571428571428572,1,TK,SRC,SRCB,BLK
BMP2K,324,290,KEA3,0.037142857142857144,1,OTHER,NAK,BIKE,BMP2K
BMPR1A,156.5,166,KEA3,0.4257142857142857,2,TKL,STKR,TYPE1,BMPR1A
BMPR1B,89,83,KEA3,0.7371428571428571,3,TKL,STKR,TYPE1,BMPR1B
