Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
Signal Transduction R-HSA-162582,25/2465,7.576998134316742e-10,4.1446179794712585e-7,0,0,6.184991520633126,129.88936068554543,CHRM1;CHRM4;CHRM5;FOXO3;CENPA;RAP1B;PPP2CB;H3C13;PRKACG;RPS6KA1;ERBB2;CAMK2G;EIF4E;FGA;MAP2K1;ANXA1;BAD;H2BC3;CDC25C;ESR1;MTOR;NR4A1;CDK1;PDE5A;TP53
Cyclin A/B1/B2 Associated Events During G2/M Transition R-HSA-69273,5/25,6.050510141597554e-9,1.2458272941728474e-6,0,0,101.66326530612244,1923.7864991344268,PPP2CB;CDK7;CDK1;CDC25C;CDC25A
Intracellular Signaling By Second Messengers R-HSA-9006925,10/306,8.010454129783855e-9,1.2458272941728474e-6,0,0,15.087530712530713,281.2695686491459,PPP2CB;NR4A1;BAD;PRKACG;ERBB2;FOXO3;TP53;CAMK2G;ESR1;MTOR
Disease R-HSA-1643685,20/1736,9.493846198687724e-9,1.2458272941728474e-6,0,0,6.249143013848896,115.4380568237058,RB1;FGA;MAP2K1;BAD;H2BC3;CDC25C;FOXO3;ESR1;CDC25A;MTOR;GYS2;RAP1B;PPP2CB;NR4A1;CDK7;H3C13;PRKACG;ERBB2;TP53;CAMK2G
"Cell Cycle, Mitotic R-HSA-69278",12/523,1.1387818045455642e-8,1.2458272941728474e-6,0,0,10.866648029074645,198.75883431835933,RB1;RBL2;PPP2CB;CDK7;H3C13;H2BC3;CDK1;NEK2;CDC25C;TP53;CENPA;CDC25A
Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,11/424,1.4409816937372564e-8,1.3136949774571324e-6,0,0,12.098823131933104,218.44856041153287,RAP1B;FGA;PPP2CB;NR4A1;MAP2K1;BAD;ERBB2;FOXO3;CAMK2G;ESR1;MTOR
Diseases Of Programmed Cell Death R-HSA-9645723,6/71,3.642040820001883e-8,2.8459947550586143e-6,0,0,38.23269230769231,654.8547746954646,H3C13;H2BC3;CDC25C;FOXO3;TP53;CDC25A
Cell Cycle R-HSA-1640170,12/654,1.3178063813031577e-7,8.58017894079792e-6,0,0,8.59101023587005,136.0998763238915,RB1;RBL2;PPP2CB;CDK7;H3C13;H2BC3;CDK1;NEK2;CDC25C;TP53;CENPA;CDC25A
TP53 Regulates Transcription Of Genes Involved In G2 Cell Cycle Arrest R-HSA-6804114,4/18,1.4117296246285428e-7,8.58017894079792e-6,0,0,113.89714285714284,1796.5315271026875,RBL2;CDK1;CDC25C;TP53
MAPK Family Signaling Cascades R-HSA-5683057,9/318,1.645415528191916e-7,9.000422939209781e-6,0,0,12.710032362459549,198.53201079543635,RAP1B;FGA;PPP2CB;MAP2K1;PRKACG;ERBB2;CDK1;FOXO3;CAMK2G
Muscarinic Acetylcholine Receptors R-HSA-390648,3/5,1.853255743701241e-7,9.215735380041625e-6,0,0,586.5882352941177,9092.79321905746,CHRM1;CHRM4;CHRM5
Generic Transcription Pathway R-HSA-212436,15/1190,3.649334321921297e-7,1.6055969942063944e-5,0,0,6.144353518821604,91.081136995921,RB1;H2BC3;CDC25C;FOXO3;ESR1;MTOR;RBL2;PPP2CB;NR4A1;CDK7;H3C13;ERBB2;CDK1;TP53;CAMK2G
PI3K/AKT Signaling In Cancer R-HSA-2219528,6/105,3.815861229375343e-7,1.6055969942063944e-5,0,0,25.05934343434344,370.3502640059448,NR4A1;BAD;ERBB2;FOXO3;ESR1;MTOR
Defective Intrinsic Pathway For Apoptosis R-HSA-9734009,4/24,4.84388052643515e-7,1.892573319971448e-5,0,0,79.704,1158.926406855721,CDC25C;FOXO3;TP53;CDC25A
G2/M Transition R-HSA-69275,7/182,5.682794783098404e-7,1.9541628422678683e-5,0,0,16.826382978723405,241.9743664482464,PPP2CB;CDK7;CDK1;NEK2;CDC25C;TP53;CDC25A
PIP3 Activates AKT Signaling R-HSA-1257604,8/268,5.716015626377676e-7,1.9541628422678683e-5,0,0,13.167892976588629,189.2861394740072,PPP2CB;NR4A1;BAD;ERBB2;FOXO3;TP53;ESR1;MTOR
Mitotic G2-G2/M Phases R-HSA-453274,7/184,6.117213471797556e-7,1.968303393572508e-5,0,0,16.634571462916217,237.9906304936372,PPP2CB;CDK7;CDK1;NEK2;CDC25C;TP53;CDC25A
Constitutive Signaling By AKT1 E17K In Cancer R-HSA-5674400,4/26,6.787799980323597e-7,2.06273699402056e-5,0,0,72.4509090909091,1029.0179992254684,NR4A1;BAD;FOXO3;MTOR
RNA Polymerase II Transcription R-HSA-73857,15/1312,1.2582119177232376e-6,3.5108479911089984e-5,0,0,5.530217662060376,75.13253595405406,RB1;H2BC3;CDC25C;FOXO3;ESR1;MTOR;RBL2;PPP2CB;NR4A1;CDK7;H3C13;ERBB2;CDK1;TP53;CAMK2G
G1/S Transition R-HSA-69206,6/129,1.2836738541531983e-6,3.5108479911089984e-5,0,0,20.145325203252032,273.2871382267476,RB1;RBL2;PPP2CB;CDK7;CDK1;CDC25A
Cytokine Signaling In Immune System R-HSA-1280215,11/702,2.226092345424253e-6,5.798440537843173e-5,0,0,7.12836132332649,92.77749610653656,RAP1B;PPP2CB;MAP2K1;ANXA1;H3C13;RPS6KA1;CD27;FOXO3;TP53;CAMK2G;EIF4E
