Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
protein serine/threonine kinase activity (GO:0004674),10/344,2.431536438726913e-8,3.3312049210558715e-6,0,0,13.34512792596625,233.9688834158297,BCKDK;MAP2K1;CDK7;RPS6KA1;CDK1;NEK2;NEK3;RAF1;CAMK2G;MTOR
kinase binding (GO:0019900),10/461,3.707474966944825e-7,2.213140418652984e-5,0,0,9.824128199959686,145.47318138081422,RB1;PFKL;BAD;DCX;CDC25C;FOXO3;TP53;ESR1;CDC25A;ADD2
G protein-coupled acetylcholine receptor activity (GO:0016907),3/7,6.461723850081705e-7,2.213140418652984e-5,0,0,293.2647058823529,4179.667100088009,CHRM1;CHRM4;CHRM5
G protein-coupled neurotransmitter receptor activity (GO:0099528),3/7,6.461723850081705e-7,2.213140418652984e-5,0,0,293.2647058823529,4179.667100088009,CHRM1;CHRM4;CHRM5
acetylcholine receptor activity (GO:0015464),3/22,2.76286456378592e-5,7.570248904773421e-4,0,0,61.69349845201239,647.57551940516,CHRM1;CHRM4;CHRM5
protein kinase binding (GO:0019901),8/506,5.941583587745616e-5,0.001313141994363656,0,0,6.791688493102846,66.08957957893924,BAD;DCX;CDC25C;FOXO3;TP53;ESR1;CDC25A;ADD2
RNA polymerase II general transcription initiation factor binding (GO:0001091),2/5,7.117906252798429e-5,0.001313141994363656,0,0,255.6794871794872,2441.8188358057296,AR;ESR1
serotonin receptor activity (GO:0099589),3/33,9.584978061048583e-5,0.001313141994363656,0,0,39.05098039215687,361.3281144382021,CHRM1;CHRM4;CHRM5
delayed rectifier potassium channel activity (GO:0005251),3/33,9.584978061048583e-5,0.001313141994363656,0,0,39.05098039215687,361.3281144382021,KCNB1;KCNA2;KCNA3
G protein-coupled serotonin receptor activity (GO:0004993),3/33,9.584978061048583e-5,0.001313141994363656,0,0,39.05098039215687,361.3281144382021,CHRM1;CHRM4;CHRM5
voltage-gated cation channel activity (GO:0022843),4/97,1.365228028339793e-4,0.0016727070444890176,0,0,17.07784946236559,151.97610519778428,KCNB1;CACNA2D1;KCNA2;KCNA3
protein heterodimerization activity (GO:0046982),5/188,1.5148713074057734e-4,0.0016727070444890176,0,0,11.01985056317609,96.91969460382806,NR4A1;KCNB1;ERBB2;TP53;ADD2
G protein-coupled amine receptor activity (GO:0008227),3/39,1.5872402611939582e-4,0.0016727070444890176,0,0,32.532679738562095,284.6070589086672,CHRM1;CHRM4;CHRM5
DNA-binding transcription factor binding (GO:0140297),5/208,2.4236442537011027e-4,0.002321395645823257,0,0,9.924097717904896,82.6187890801807,RB1;RBL2;AR;TP53;EIF4E
phosphatase binding (GO:0019902),4/114,2.5416740647699895e-4,0.002321395645823257,0,0,14.42618181818182,119.41297141121431,BAD;ERBB2;NEK2;TP53
protein phosphatase binding (GO:0019903),4/123,3.396576079943989e-4,0.002908318268452041,0,0,13.3290756302521,106.46695772889916,BAD;ERBB2;NEK2;TP53
protein serine/threonine phosphatase inhibitor activity (GO:0004865),2/11,3.8743995530845664e-4,0.003122310228074033,0,0,85.2008547008547,669.3336268156615,PPP1R17;PPP1R1A
RNA polymerase II CTD heptapeptide repeat kinase activity (GO:0008353),2/12,4.641239039697884e-4,0.0035324986024367227,0,0,76.67692307692307,588.5229121650322,CDK7;CDK1
transcription coactivator binding (GO:0001223),2/20,0.0013177506939226456,0.009198041629169802,0,0,42.58119658119658,282.3912150075315,AR;ESR1
voltage-gated potassium channel activity (GO:0005249),3/82,0.0014171544131430182,0.009198041629169802,0,0,14.793000744601638,97.0288355680606,KCNB1;KCNA2;KCNA3
cysteine-type endopeptidase inhibitor activity involved in apoptotic process (GO:0043027),2/21,0.0014539455822740843,0.009198041629169802,0,0,40.33805668016194,263.5476577125423,RPS6KA1;CD27
RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629),4/190,0.0017225431177608445,0.009198041629169802,0,0,8.498924731182795,54.08676198734016,RB1;RBL2;AR;TP53
cyclin-dependent protein kinase activity (GO:0097472),2/23,0.001745613739842444,0.009198041629169802,0,0,36.49267399267399,231.752166218624,CDK7;CDK1
cyclin-dependent protein serine/threonine kinase activity (GO:0004693),2/23,0.001745613739842444,0.009198041629169802,0,0,36.49267399267399,231.752166218624,CDK7;CDK1
disordered domain specific binding (GO:0097718),2/23,0.001745613739842444,0.009198041629169802,0,0,36.49267399267399,231.752166218624,RB1;TP53
phosphatidylinositol phospholipase C activity (GO:0004435),2/23,0.001745613739842444,0.009198041629169802,0,0,36.49267399267399,231.752166218624,CHRM1;CHRM5
potassium channel activity (GO:0005267),3/91,0.0019110672156488057,0.009696896612736532,0,0,13.274064171122994,83.09688205728912,KCNB1;KCNA2;KCNA3
"DNA-binding transcription activator activity, RNA polymerase II-specific (GO:0001228)",5/333,0.0020134124295018477,0.009744750460993332,0,0,6.1031607765057245,37.8879599100055,AR;NR4A1;FOXO3;TP53;ESR1
phospholipase C activity (GO:0004629),2/25,0.002062757396852603,0.009744750460993332,0,0,33.31605351170568,206.01686820131164,CHRM1;CHRM5
general transcription initiation factor binding (GO:0140296),2/26,0.0022307971565230693,0.010187307014788682,0,0,31.92628205128205,194.92260392854524,AR;ESR1
protein serine/threonine/tyrosine kinase activity (GO:0004712),2/28,0.0025856429296413053,0.011426873592285768,0,0,29.467455621301774,175.5606497654468,MAP2K1;RPS6KA1
protein phosphatase inhibitor activity (GO:0004864),2/29,0.002772381493139292,0.011869258267502594,0,0,28.37464387464388,167.0712816687644,PPP1R17;PPP1R1A
cysteine-type endopeptidase inhibitor activity (GO:0004869),2/40,0.005226158001712535,0.02169647412832173,0,0,20.149797570850204,105.86862582436255,RPS6KA1;CD27
transcription coregulator binding (GO:0001221),2/53,0.009028615477782772,0.03638000942518352,0,0,15.003770739064857,70.62809393251956,AR;ESR1
protein serine/threonine phosphatase activity (GO:0004722),2/62,0.012199741169170162,0.04717194715404041,0,0,12.747435897435896,56.16954361556468,PPP2CB;CAMK2G
sphingosine-1-phosphate receptor activity (GO:0038036),1/5,0.013428510503704937,0.04717194715404041,0,0,94.06603773584904,405.4599145949008,GPR6
ErbB-3 class receptor binding (GO:0043125),1/5,0.013428510503704937,0.04717194715404041,0,0,94.06603773584904,405.4599145949008,ERBB2
voltage-gated calcium channel activity involved in cardiac muscle cell action potential (GO:0086007),1/5,0.013428510503704937,0.04717194715404041,0,0,94.06603773584904,405.4599145949008,CACNA2D1
pyruvate dehydrogenase (acetyl-transferring) kinase activity (GO:0004740),1/5,0.013428510503704937,0.04717194715404041,0,0,94.06603773584904,405.4599145949008,BCKDK
transcription cis-regulatory region binding (GO:0000976),5/549,0.016030973690852112,0.051272748155801816,0,0,3.639330732292917,15.042200324514855,RB1;RBL2;AR;FOXO3;TP53
RNA polymerase III cis-regulatory region sequence-specific DNA binding (GO:0000992),1/6,0.016092906355470643,0.051272748155801816,0,0,75.24905660377358,310.73170127161313,MTOR
RNA polymerase III type 3 promoter sequence-specific DNA binding (GO:0001006),1/6,0.016092906355470643,0.051272748155801816,0,0,75.24905660377358,310.73170127161313,MTOR
fructose binding (GO:0070061),1/6,0.016092906355470643,0.051272748155801816,0,0,75.24905660377358,310.73170127161313,PFKL
ATPase binding (GO:0051117),2/73,0.016637771492323223,0.05137565938289626,0,0,10.76652221018418,44.10053389696503,AR;ESR1
protein tyrosine phosphatase activity (GO:0004725),2/74,0.017070676702069677,0.05137565938289626,0,0,10.616452991452991,43.21313700492695,CDC25C;CDC25A
ribosomal protein S6 kinase activity (GO:0004711),1/7,0.018750240650692064,0.05137565938289626,0,0,62.70440251572328,249.34710980306107,RPS6KA1
"3',5'-cyclic-GMP phosphodiesterase activity (GO:0047555)",1/7,0.018750240650692064,0.05137565938289626,0,0,62.70440251572328,249.34710980306107,PDE5A
phosphofructokinase activity (GO:0008443),1/7,0.018750240650692064,0.05137565938289626,0,0,62.70440251572328,249.34710980306107,PFKL
calcium-dependent protein serine/threonine phosphatase activity (GO:0004723),1/7,0.018750240650692064,0.05137565938289626,0,0,62.70440251572328,249.34710980306107,CAMK2G
voltage-gated channel activity (GO:0022832),1/7,0.018750240650692064,0.05137565938289626,0,0,62.70440251572328,249.34710980306107,KCNA3
transcription regulatory region nucleic acid binding (GO:0001067),3/212,0.019598836301390365,0.0526478543782447,0,0,5.555023923444976,21.8439377314594,AR;FOXO3;TP53
histone kinase activity (GO:0035173),1/8,0.021400531511072123,0.05638216955801693,0,0,53.74393530997305,206.60993448840281,CDK1
bioactive lipid receptor activity (GO:0045125),1/9,0.02404379708967068,0.06100000372749783,0,0,47.02358490566038,175.29819860584723,GPR6
glucocorticoid receptor binding (GO:0035259),1/9,0.02404379708967068,0.06100000372749783,0,0,47.02358490566038,175.29819860584723,NR4A1
phospholipase inhibitor activity (GO:0004859),1/10,0.026680055532623963,0.0652708501423122,0,0,41.79664570230608,151.46431378315344,ANXA1
UDP-glucosyltransferase activity (GO:0035251),1/10,0.026680055532623963,0.0652708501423122,0,0,41.79664570230608,151.46431378315344,GYS2
AMP binding (GO:0016208),1/11,0.02930932497110778,0.06805724611935196,0,0,37.61509433962264,132.7756240232595,PFKL
MAP-kinase scaffold activity (GO:0005078),1/11,0.02930932497110778,0.06805724611935196,0,0,37.61509433962264,132.7756240232595,MAP2K1
cGMP binding (GO:0030553),1/11,0.02930932497110778,0.06805724611935196,0,0,37.61509433962264,132.7756240232595,PDE5A
RNA 7-methylguanosine cap binding (GO:0000340),1/13,0.03454696920988076,0.07888224636256107,0,0,31.342767295597483,105.4820602978719,EIF4E
kinase activity (GO:0016301),2/112,0.0368200033959587,0.08269410598764496,0,0,6.935664335664336,22.89958011228037,BCKDK;MTOR
cysteine-type endopeptidase activator activity involved in apoptotic process (GO:0008656),1/15,0.03975687424498529,0.08645542494544418,0,0,26.862533692722373,86.63093286520242,BAD
MAP kinase kinase activity (GO:0004708),1/15,0.03975687424498529,0.08645542494544418,0,0,26.862533692722373,86.63093286520242,MAP2K1
nuclear receptor binding (GO:0016922),2/120,0.04172250413810493,0.0883624957390177,0,0,6.4628422425032594,20.530605491283485,NR4A1;ESR1
voltage-gated ion channel activity (GO:0005244),1/16,0.04235146953793646,0.0883624957390177,0,0,25.07044025157233,79.26651858378708,KCNA3
sequence-specific double-stranded DNA binding (GO:1990837),5/712,0.04256879356770196,0.0883624957390177,0,0,2.776751436076552,8.76518754702273,AR;NR4A1;FOXO3;TP53;ESR1
peptidase activator activity involved in apoptotic process (GO:0016505),1/17,0.04493918392504326,0.09189057011538695,0,0,23.50235849056604,72.91477862029602,BAD
cadherin binding involved in cell-cell adhesion (GO:0098641),1/18,0.04752003528742647,0.09573889462319744,0,0,22.11875693673696,67.38709029166962,ANXA1
RNA cap binding (GO:0000339),1/19,0.05009404144634451,0.09946208229201736,0,0,20.88888888888889,62.53826707779693,EIF4E
"3',5'-cyclic-nucleotide phosphodiesterase activity (GO:0004114)",1/21,0.05522158934050639,0.10655433436125882,0,0,18.79811320754717,54.4468793612393,PDE5A
histone acetyltransferase binding (GO:0035035),1/21,0.05522158934050639,0.10655433436125882,0,0,18.79811320754717,54.4468793612393,TP53
TBP-class protein binding (GO:0017025),1/22,0.05777516652888407,0.10842736732133038,0,0,17.902066486972146,51.04230466405881,ESR1
protein kinase A regulatory subunit binding (GO:0034237),1/22,0.05777516652888407,0.10842736732133038,0,0,17.902066486972146,51.04230466405881,PRKACG
cyclic nucleotide binding (GO:0030551),1/23,0.06032196944504943,0.11018813085295696,0,0,17.087478559176674,47.98264634686218,PDE5A
cyclic-nucleotide phosphodiesterase activity (GO:0004112),1/23,0.06032196944504943,0.11018813085295696,0,0,17.087478559176674,47.98264634686218,PDE5A
protein phosphatase 2A binding (GO:0051721),1/24,0.06286201570363556,0.11184540456361132,0,0,16.343724364232976,45.22003200693963,TP53
calmodulin-dependent protein kinase activity (GO:0004683),1/24,0.06286201570363556,0.11184540456361132,0,0,16.343724364232976,45.22003200693963,CAMK2G
DNA binding (GO:0003677),5/811,0.0670903321637841,0.11783814751844132,0,0,2.423152883982377,6.546669284869906,NR4A1;H2BC3;ERF;FOXO3;TP53
RNA polymerase II transcription regulatory region sequence-specific DNA binding (GO:0000977),7/1359,0.07175616170911112,0.12443790068542052,0,0,2.0483129799823745,5.396242755517225,RB1;RBL2;AR;NR4A1;FOXO3;TP53;ESR1
transcription corepressor binding (GO:0001222),1/29,0.07546151096326235,0.12922783752458675,0,0,13.421832884097036,34.683795119411634,ESR1
WW domain binding (GO:0050699),1/30,0.07796138492038997,0.1318606140011534,0,0,12.958360442420298,33.06379625497651,CDC25C
potassium ion transmembrane transporter activity (GO:0015079),1/32,0.08294124653654229,0.13857257043300358,0,0,12.121119902617163,30.177016409267804,KCNA2
RNA polymerase core enzyme binding (GO:0043175),1/33,0.08542126868690271,0.13931802154887704,0,0,11.741745283018869,28.88657396987172,ERBB2
basal RNA polymerase II transcription machinery binding (GO:0001099),1/33,0.08542126868690271,0.13931802154887704,0,0,11.741745283018869,28.88657396987172,AR
estrogen receptor binding (GO:0030331),1/35,0.09036158158919066,0.14564160797316614,0,0,11.049944506104328,26.563360328124432,ESR1
core promoter sequence-specific DNA binding (GO:0001046),1/37,0.0952757000126654,0.14832694206517225,0,0,10.435010482180294,24.53250600399325,TP53
protein serine/threonine kinase activator activity (GO:0043539),1/37,0.0952757000126654,0.14832694206517225,0,0,10.435010482180294,24.53250600399325,MAP2K1
voltage-gated calcium channel activity (GO:0005245),1/37,0.0952757000126654,0.14832694206517225,0,0,10.435010482180294,24.53250600399325,CACNA2D1
tau protein binding (GO:0048156),1/40,0.10259806088452916,0.15793184653011794,0,0,9.630865989356556,21.928867853316252,PPP2CB
translation initiation factor activity (GO:0003743),1/41,0.10502589777658966,0.15987275550436425,0,0,9.389622641509431,21.159968270478103,EIF4E
