Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
PI3K-Akt signaling pathway,13/354,7.741902229362503e-12,1.3935424012852506e-9,0,0,18.22938273371004,466.38734004202337,MAP2K1;CHRM1;BAD;FOXO3;MTOR;GYS2;RBL2;PPP2CB;NR4A1;ERBB2;RAF1;TP53;EIF4E
Prostate cancer,8/97,1.975782632037236e-10,1.7782043688335125e-8,0,0,38.80214948705422,867.0296200628992,RB1;AR;MAP2K1;BAD;ERBB2;RAF1;TP53;MTOR
Cellular senescence,9/156,3.33796964150219e-10,2.0027817849013145e-8,0,0,26.937414965986395,587.7875453919239,RB1;RBL2;MAP2K1;CDK1;RAF1;FOXO3;TP53;CDC25A;MTOR
Long-term potentiation,7/67,5.363790284956806e-10,2.4137056282305637e-8,0,0,49.36241134751773,1053.6989209210703,RAP1B;MAP2K1;PPP1R1A;PRKACG;RPS6KA1;RAF1;CAMK2G
Chemical carcinogenesis,10/239,7.426472459889919e-10,2.6348153301517337e-8,0,0,19.56828106391425,411.3409216845961,RB1;AR;MAP2K1;BAD;PRKACG;RPS6KA1;RAF1;ESR1;CDC25A;MTOR
Non-small cell lung cancer,7/72,8.992767677110085e-10,2.6348153301517337e-8,0,0,45.55384615384615,948.8606618592446,RB1;MAP2K1;BAD;ERBB2;RAF1;FOXO3;TP53
Neurotrophin signaling pathway,8/119,1.0248927607943455e-9,2.6348153301517337e-8,0,0,31.077164120642383,643.2562087318081,RAP1B;MAP2K1;BAD;RPS6KA1;RAF1;FOXO3;TP53;CAMK2G
Thyroid hormone signaling pathway,8/121,1.1710290356229927e-9,2.6348153301517337e-8,0,0,30.524047710657943,627.7387305692283,MAP2K1;PFKL;BAD;PRKACG;RAF1;TP53;ESR1;MTOR
Pancreatic cancer,7/76,1.3236393501376044e-9,2.6472787002752093e-8,0,0,42.90440949737897,877.0897296081049,RB1;MAP2K1;BAD;ERBB2;RAF1;TP53;MTOR
Oocyte meiosis,8/129,1.951513540157488e-9,3.5127243722834785e-8,0,0,28.494430470715056,571.4461318239995,AR;PPP2CB;MAP2K1;PRKACG;RPS6KA1;CDK1;CDC25C;CAMK2G
Progesterone-mediated oocyte maturation,7/100,9.224468280382786e-9,1.5094584458808198e-7,0,0,31.79386867993594,588.2312819041273,MAP2K1;PRKACG;RPS6KA1;CDK1;CDC25C;RAF1;CDC25A
Endometrial cancer,6/58,1.0571964499493457e-8,1.5857946749240186e-7,0,0,47.82211538461539,878.2560278429876,MAP2K1;BAD;ERBB2;RAF1;FOXO3;TP53
Central carbon metabolism in cancer,6/70,3.341133345917115e-8,4.626184632808314e-7,0,0,38.83203125,668.468979783093,MAP2K1;PFKL;ERBB2;RAF1;TP53;MTOR
Neutrophil extracellular trap formation,8/189,3.93379339949524e-8,4.95419955482567e-7,0,0,18.99111217871727,323.81890737731044,FGA;MAP2K1;H3C15;H3C13;H3C14;H2BC3;RAF1;MTOR
Cell cycle,7/124,4.128499629021392e-8,4.95419955482567e-7,0,0,25.241498454264413,429.1753090969709,RB1;RBL2;CDK7;CDK1;CDC25C;TP53;CDC25A
Glioma,6/75,5.078556975448342e-8,5.713376597379384e-7,0,0,36.00905797101449,604.7956635192885,RB1;MAP2K1;RAF1;TP53;CAMK2G;MTOR
Proteoglycans in cancer,8/205,7.379545618648725e-8,7.603143435523841e-7,0,0,17.434561906863827,286.3098295234405,MAP2K1;PRKACG;ERBB2;RAF1;TP53;CAMK2G;ESR1;MTOR
