Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
neuron projection (GO:0043005),8/556,1.144576860550222e-4,0.010072276372841952,0,0,6.156140907648366,55.86885855994606,CHRM1;KCNB1;CHRM4;CHRM5;KCNA2;DCX;KCNA3;CAMK2G
dendrite (GO:0030425),5/270,7.962335395165665e-4,0.028180015909215404,0,0,7.57835964574509,54.07627967900396,CHRM1;KCNB1;CHRM4;CHRM5;KCNA2
voltage-gated potassium channel complex (GO:0008076),3/73,0.001012452058887815,0.028180015909215404,0,0,16.702521008403362,115.17023113736498,KCNB1;KCNA2;KCNA3
potassium channel complex (GO:0034705),3/80,0.001319748325578575,0.028180015909215404,0,0,15.178762414056532,100.6399643214982,KCNB1;KCNA2;KCNA3
actin cytoskeleton (GO:0015629),5/316,0.0016011372675690568,0.028180015909215404,0,0,6.442351860358292,41.469683770204206,GYS2;VASP;MARCKS;ANXA1;CFL1
nucleus (GO:0005634),22/4484,0.0019230267762988104,0.02820439271904922,0,0,2.385757507844016,14.92018125258578,RB1;MAP2K1;ANXA1;H2BC3;CDC25C;FOXO3;CENPA;ESR1;CDC25A;MTOR;AR;NR4A1;CDK7;H3C13;PRKACG;CFL1;ERBB2;ERF;CDK1;NEK2;NEK3;TP53
focal adhesion (GO:0005925),5/387,0.003841799279141615,0.04559256084285372,0,0,5.225985682231007,29.065962734386137,VASP;MAP2K1;MARCKS;ANXA1;CFL1
cell-substrate junction (GO:0030055),5/394,0.004144778258441248,0.04559256084285372,0,0,5.130108598709406,28.14329348064737,VASP;MAP2K1;MARCKS;ANXA1;CFL1
mitochondrial outer membrane (GO:0005741),3/126,0.004791644152744376,0.046851631715722784,0,0,9.480153036824486,50.63237567356936,BAD;RAF1;FOXO3
cytoskeleton (GO:0005856),6/600,0.005413663599338172,0.04764023967417592,0,0,4.072390572390573,21.253110935000954,GYS2;VASP;MARCKS;CFL1;DCX;ADD2
organelle outer membrane (GO:0031968),3/142,0.006672301288389439,0.05337841030711552,0,0,8.382141345746932,41.992771729958896,BAD;RAF1;FOXO3
intracellular membrane-bounded organelle (GO:0043231),22/5192,0.012456072678215763,0.09090068648661802,0,0,1.9648936170212763,8.617133326450709,RB1;MAP2K1;ANXA1;H2BC3;CDC25C;FOXO3;CENPA;ESR1;CDC25A;MTOR;AR;NR4A1;CDK7;H3C13;PRKACG;CFL1;ERBB2;ERF;CDK1;NEK2;NEK3;TP53
mitochondrial alpha-ketoglutarate dehydrogenase complex (GO:0005947),1/5,0.013428510503704937,0.09090068648661802,0,0,94.06603773584904,405.4599145949008,BCKDK
integral component of plasma membrane (GO:0005887),9/1454,0.015072339151356223,0.09441171728542776,0,0,2.560692041522491,10.741831832732926,CHRM1;KCNB1;CHRM4;CHRM5;KCNA2;ERBB2;KCNA3;CD27;GPR6
