Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
positive regulation of mitotic cell cycle phase transition (GO:1901992),5/58,4.878290880659612e-7,4.450576870749385e-4,0,0,38.29996149403158,556.6248580265398,RB1;ANXA1;CDK1;CDC25C;CDC25A
adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway (GO:0007197),3/8,1.0319053346498552e-6,4.450576870749385e-4,0,0,234.6,3233.7507104491183,CHRM1;CHRM4;CHRM5
mitotic cell cycle phase transition (GO:0044772),7/209,1.4372153511569595e-6,4.450576870749385e-4,0,0,14.557404676637876,195.83789876865944,RB1;CDK7;CDK1;NEK2;CDC25C;EIF4E;CDC25A
protein phosphorylation (GO:0006468),9/496,6.508276899376678e-6,0.0014590853097967902,0,0,7.991375770020534,95.43649226275387,BCKDK;MAP2K1;CDK7;RPS6KA1;ERBB2;CDK1;NEK2;NEK3;MTOR
phosphorylation (GO:0016310),8/400,1.1109219340954624e-5,0.0014590853097967902,0,0,8.675244010647738,98.96488666944651,BCKDK;MAP2K1;CDK7;ERBB2;CDK1;NEK2;NEK3;MTOR
regulation of protein serine/threonine kinase activity (GO:0071900),5/111,1.2246053912163527e-5,0.0014590853097967902,0,0,19.09896033885252,216.01510104096707,RB1;MAP2K1;CDK7;CDC25C;CDC25A
"protein localization to chromosome, centromeric region (GO:0071459)",3/17,1.231674227547144e-5,0.0014590853097967902,0,0,83.74789915966386,946.7324022615152,RB1;CDK1;CENPA
regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903798),3/18,1.4751882567420537e-5,0.0014590853097967902,0,0,78.16078431372549,869.4714956192169,MAP2K1;ESR1;TP53
G protein-coupled acetylcholine receptor signaling pathway (GO:0007213),3/18,1.4751882567420537e-5,0.0014590853097967902,0,0,78.16078431372549,869.4714956192169,CHRM1;CHRM4;CHRM5
"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)",4/56,1.570597750050366e-5,0.0014590853097967902,0,0,30.606153846153845,338.5490276575585,RBL2;CDK1;CDC25C;TP53
positive regulation of G2/M transition of mitotic cell cycle (GO:0010971),3/20,2.0530658518209544e-5,0.0015539314892310317,0,0,68.95847750865052,744.3096195574882,CDK1;CDC25C;CDC25A
acetylcholine receptor signaling pathway (GO:0095500),3/21,2.3906724495892608e-5,0.0015539314892310317,0,0,65.12418300653594,693.0092755644479,CHRM1;CHRM4;CHRM5
cell cycle G1/S phase transition (GO:0044843),4/63,2.5118116743702212e-5,0.0015539314892310317,0,0,26.96542372881356,285.6156429789194,RB1;CDK7;EIF4E;CDC25A
G2/M transition of mitotic cell cycle (GO:0000086),5/130,2.631072562340013e-5,0.0015539314892310317,0,0,16.180408163265305,170.6310425351509,CDK7;CDK1;NEK2;CDC25C;CDC25A
cell cycle G2/M phase transition (GO:0044839),5/131,2.729907243592699e-5,0.0015539314892310317,0,0,16.05118237771299,168.67638342337293,CDK7;CDK1;NEK2;CDC25C;CDC25A
"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)",4/65,2.843577536805978e-5,0.0015539314892310317,0,0,26.078688524590163,272.98812590322626,CHRM1;ANXA1;CHRM4;CHRM5
mitotic G1 DNA damage checkpoint signaling (GO:0031571),4/65,2.843577536805978e-5,0.0015539314892310317,0,0,26.078688524590163,272.98812590322626,RBL2;CDK1;CDC25C;TP53
positive regulation of cell cycle G2/M phase transition (GO:1902751),3/23,3.1712312522348865e-5,0.0016367076851812276,0,0,58.60588235294118,607.0869390782797,CDK1;CDC25C;CDC25A
negative regulation of apoptotic process (GO:0043066),8/485,4.4096286414401405e-5,0.002156076319946258,0,0,7.0983501959711965,71.19031230285906,RB1;ANXA1;CFL1;RPS6KA1;CDK1;CD27;RAF1;TP53
"DNA damage response, signal transduction by p53 class mediator (GO:0030330)",4/74,4.746598570011164e-5,0.0021704402504871345,0,0,22.71542857142857,226.14338540252248,RBL2;CDK1;CDC25C;TP53
anterograde trans-synaptic signaling (GO:0098916),6/244,4.906269672791154e-5,0.0021704402504871345,0,0,10.350840336134452,102.70529773129788,CHRM1;CHRM4;PRKACG;CHRM5;RPS6KA1;MBP
negative regulation of programmed cell death (GO:0043069),7/381,7.059770301363148e-5,0.0029811484590756203,0,0,7.794060757765388,74.4996306800459,ANXA1;CFL1;RPS6KA1;CDK1;CD27;RAF1;TP53
cellular protein modification process (GO:0006464),11/1025,7.62942008132812e-5,0.0030816222850234016,0,0,4.776202926471263,45.28276741391147,BCKDK;FGA;PPP2CB;MAP2K1;CDK7;ANXA1;ERBB2;CDK1;NEK2;NEK3;MTOR
G1/S transition of mitotic cell cycle (GO:0000082),4/85,8.171369001418152e-5,0.0031630007509656096,0,0,19.619753086419752,184.66678626990836,RB1;CDK7;EIF4E;CDC25A
protein localization to chromosome (GO:0034502),3/34,1.0492510084808428e-4,0.003899016747514811,0,0,37.78937381404175,346.23621125249724,RB1;CENPA;ESR1
regulation of mitotic cell cycle (GO:0007346),5/178,1.1727752312709176e-4,0.004035215517965491,0,0,11.662734457945028,105.5590298327731,RB1;CDK1;NEK2;CDC25C;EIF4E
regulation of translation (GO:0006417),5/178,1.1727752312709176e-4,0.004035215517965491,0,0,11.662734457945028,105.5590298327731,RPS6KA1;ERBB2;FOXO3;EIF4E;MTOR
regulation of intracellular steroid hormone receptor signaling pathway (GO:0033143),3/37,1.354635173682446e-4,0.00449448598696783,0,0,34.449826989619375,306.83800146502136,AR;H3C13;ESR1
regulation of cell cycle (GO:0051726),6/296,1.420470765844047e-4,0.004522394450955832,0,0,8.472413793103449,75.06009633746545,RB1;NR4A1;MAP2K1;CDK7;TP53;CDC25A
